"OBJECTID","nom_rio"
28425,"Tram de_( BARRANC DEL MAS DE IARO )"
28426,"Tram de_( SIN NOMBRE )"
28428,"Tram de_( BARRANC DEL MAS DE IARO )"
28429,"Tram de_( RIO EBRO )"
28430,"Tram de_( RIO EBRO )"
28431,"Tram de_( RIO EBRO )"
28432,"Tram de_( RIO EBRO )"
28433,"Tram de_( RIO EBRO )"
28434,"RIU DE SIURANA"
28435,"Tram de_( RIU DE SIURANA )"
28439,"BARRANC DE DEVEIES"
28440,"Tram de_( BARRANC DE DEVEIES )"
28441,"RIERA DE L'ULL DE L'ASMA"
28442,"Tram de_( RIERA DE L'ULL DE L'ASMA )"
28445,"RIERA DE LES OLLES"
28447,"BARRANC DE CAPST"
28448,"Tram de_( BARRANC DE CAPST )"
28449,"Tram de_( BARRANC DE CAPST )"
28450,"BARRANC DE LES ANYERES"
28451,"Tram de_( BARRANC DE LES ANYERES )"
28454,"BARRANC DE MONTALT"
28455,"Tram de_( BARRANC DE MONTALT )"
28456,"Tram de_( RIERA DE LES OLLES )"
28457,"BARRANC DE FORCALL"
28458,"Tram de_( BARRANC DE FORCALL )"
28459,"BARRANC DE MAS D'EN BACONER"
28460,"Tram de_( BARRANC DE MAS D'EN BACONER )"
28462,"Tram de_( RIERA DE LES OLLES )"
28464,"BARRANC DE LA VALL"
28465,"RIU DE MARÇA"
28466,"Tram de_( RIU DE MARÇA )"
28467,"BARRANC DE LA LLUDRIGA"
28468,"Tram de_( BARRANC DE LA LLUDRIGA )"
28471,"Tram de_( RIU DE MARÇA )"
28472,"Tram de_( RIU DE MARÇA )"
28473,"Tram de_( RIU DE MARÇA )"
28474,"RIERA DE FONTAUBELLA"
28475,"BARRANC DELS ESTRETS DE MAÇANES"
28477,"Tram de_( BARRANC DELS ESTRETS DE MAÇANES )"
28478,"Tram de_( RIERA DE FONTAUBELLA )"
28479,"BARRANC DEL PAS"
28480,"Tram de_( BARRANC DEL PAS )"
28483,"Tram de_( BARRANC DEL PAS )"
28484,"Tram de_( BARRANC DEL PAS )"
28485,"Tram de_( BARRANC DEL PAS )"
28486,"Tram de_( BARRANC DEL PAS )"
28487,"BARRANC DE LA COMA TORNERA"
28488,"Tram de_( BARRANC DE LA COMA TORNERA )"
28491,"Tram de_( RIERA DE FONTAUBELLA )"
28492,"Tram de_( RIERA DE FONTAUBELLA )"
28493,"Tram de_( RIERA DE FONTAUBELLA )"
28494,"BARRANC DE RICORB"
28495,"Tram de_( BARRANC DE RICORB )"
28496,"Tram de_( BARRANC DE LA VALL )"
28497,"BARRANC FONDO"
28498,"Tram de_( BARRANC FONDO )"
28499,"Tram de_( BARRANC FONDO )"
28500,"BARRANC DE LA CANYERA"
28501,"Tram de_( BARRANC DE LA CANYERA )"
28502,"Tram de_( BARRANC DE LA VALL )"
28503,"Tram de_( BARRANC DE LA VALL )"
28504,"Tram de_( BARRANC DE LA VALL )"
28505,"Tram de_( SIN NOMBRE )"
28509,"Tram de_( RIU DE SIURANA )"
28510,"Tram de_( RIU DE SIURANA )"
28512,"BARRANC DE MARMELLANS"
28513,"Tram de_( BARRANC DE MARMELLANS )"
28514,"Tram de_( BARRANC DE MARMELLANS )"
28515,"Tram de_( BARRANC DE MARMELLANS )"
28516,"BARRANC DEL POU"
